title,company_name,location,is_remote,employment_type,experience_level,min_salary,max_salary,salary_currency,description,requirements_raw,source_url,source_platform,skills_str
Applied ML Machine Learning Engineer,Datadog,"London, UK",True,internship,mid,110000.0,225000.0,USD,"Train, evaluate, and deploy production machine learning models and LLM agent workflows at scale.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/datadog/1,indeed,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,LangChain,TensorFlow"
Lead Machine Learning Machine Learning Engineer,Cloudflare,"Los Angeles, CA",False,internship,lead,170000.0,349000.0,USD,Bridge research and production: transform experimental prototypes into low-latency inference APIs.,"- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/cloudflare/2,glassdoor,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,Git,FastAPI"
QA QA Automation Engineer,AeroDynamics Soft,"Bengaluru, India",True,full_time,mid,75000.0,155000.0,USD,Partner with development teams to incorporate automated tests into CI/CD pipelines and drive test coverage.,"- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/aerodynamicssoft/3,indeed,"Python,Pytest,Selenium,Git,CI/CD,Linux,Docker"
QA QA Automation Engineer,Krypton Data,"Boston, MA",False,contract,mid,75000.0,155000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/kryptondata/4,naukri,"Python,Pytest,Selenium,Git,CI/CD,Docker,Bash"
Senior Full Stack Full Stack Developer,Acme Technologies,"Toronto, Canada",False,contract,senior,117000.0,247000.0,USD,"Design scalable web systems, implement secure authentication, and optimize full-stack responsiveness.","- Proficient in Python
- Proficient in React
- Proficient in TypeScript
- Proficient in PostgreSQL
- Proficient in Git",https://jobs.example.com/acmetechnologies/5,naukri,"Python,React,TypeScript,PostgreSQL,Git,Docker,Tailwind CSS"
Lead Machine Learning Machine Learning Engineer,Canva,"Boston, MA",True,contract,lead,170000.0,349000.0,USD,"Work with deep neural networks, model fine-tuning, embeddings, and real-time inference serving.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/canva/6,synthetic,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,NLP,Git,Docker,AWS"
Staff Backend Engineer,Krypton Data,"Hyderabad, India",False,full_time,lead,132000.0,287000.0,USD,"You will architect and maintain scalable server-side systems, collaborate with cross-functional teams, and write clean, tested code.","- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/kryptondata/7,synthetic,"Python,FastAPI,PostgreSQL,Docker,Git,Linux,Redis,Kubernetes,Pytest"
Senior QA Automation QA Automation Engineer,CodeCraft Studio,Remote,True,internship,senior,98000.0,202000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/codecraftstudio/8,glassdoor,"Python,Pytest,Selenium,Git,CI/CD,Bash,Docker"
DevOps DevOps & Cloud Engineer,Coinbase,Remote,True,internship,mid,95000.0,205000.0,USD,"Ensure system reliability, low latency, and zero-downtime upgrades across multi-region cloud environments.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/coinbase/9,indeed,"AWS,Docker,Kubernetes,Terraform,Linux,Ansible,GCP,Azure"
Junior Full Stack Full Stack Developer,MongoDB Inc,Remote,True,full_time,entry,72000.0,152000.0,USD,Looking for a full stack engineer comfortable working from React client-side workflows to backend APIs and relational databases.,"- Proficient in Python
- Proficient in React
- Proficient in TypeScript
- Proficient in PostgreSQL
- Proficient in Git",https://jobs.example.com/mongodbinc/10,linkedin,"Python,React,TypeScript,PostgreSQL,Git,Docker,Redis,Node.js,REST API"
